hash,satcomp-mallob,satcomp-prs-distributed,satcomp-solimul-cloud,aresult
79391ed5a7f19b947cefe7af1178146a,378.951,2000.0,2000.0,sat
79c109a8c1da53c6b636d3835f11a19d,9.704,19.747,16.359,unsat
7aaf3275cbe217044ef305f0a1ca8eb5,1.243,397.461,2.849,unsat
7b4622a3ab523264378a560199de47ed,3.563,19.456,7.304,unsat
7d58f2f0c79cbcad0496ced184ba0680,23.665,286.984,182.116,sat
7dc81d3cb9066f8bc06ceffbca237572,229.109,2000.0,105.553,sat
81d2158d506ea1049708837460b9387e,8.564,47.096,14.587,unsat
824c21545e228872744675ae4ee32976,2000.0,2000.0,3.376,unsat
8252d67358381873e07bb637ad177b83,95.459,54.319,88.7,unsat
8270ae50e6f2881136868db6d3a88eee,14.495,77.27,21.588,unsat
828e1066a477e98e8d834528df3fc874,2000.0,2000.0,2000.0,unknown
82fe0a5b2467d6e5299c315da8b16ec5,1.579,2.799,2000.0,sat
835ac60ca83af6f334b64b61c4ad345b,2000.0,1.658,2.662,unsat
83cf6bfa7945b54e8c4ac659d1a4359e,9.88,14.699,28.5,sat
8403d03df1ce64af3bf7581449d320fb,1.79,2.639,2000.0,sat
85240babab8083e1b381e2971d875ab8,50.627,28.585,248.9,unsat
8751f8d1570611ba079dfd862b14c514,10.408,13.449,28.385,sat
87ec32f70c5e3a279e636f7f62e70a19,2000.0,2000.0,2000.0,unknown
89120de895868a3fccd74f30f78a5448,339.875,2000.0,2000.0,unsat
8a7a61a63a718e4dc5aba5426b31c063,50.226,28.32,306.726,unsat
8ade10da9731ce31d103c1687ff40a3d,1.576,2.772,2000.0,sat
8b797110ff321ee673eab1542069f192,2000.0,2000.0,2000.0,unknown
8bcd3f3e269fa3c9516667b626d61602,3.08,6.607,2.648,sat
8c7477dc33a412514998a2fd6b32dbf5,2000.0,2000.0,2000.0,unsat
8cf6b81061285343c4f33c51afdb3fbb,24.469,38.675,34.585,unsat
8cfc8e99d31bcaf18ff3360b08c8521c,162.814,184.034,167.526,unsat
8d31ec9edeac705ffd1b23f0cc4f3256,4.613,4.004,5.65,sat
8d458780fb74c28c01a5fe89990ad521,5.494,1.134,6.563,unsat
8db36208fc6ce43b4002cf048c549b3f,96.572,2000.0,94.662,unsat
8e30bfdb721ca0a20031c79a76f9aa7c,51.742,28.63,303.617,unsat
8f7cd9fb4b8852fdf9a21c606724c71a,36.634,24.209,203.648,unsat
8fa526d20599ca8c3d613e9066d62e61,41.872,48.486,38.499,unsat
8fcc57f6c75cb2ac48d19e3038ad3c6c,38.055,16.734,26.798,unsat
909f704d5f4127c1197a086705468624,1.258,1.832,2.569,sat
911cbc796d15eb316d36c82c90fd7d11,1.304,1.753,2.628,sat
91b88d172a08e2a57c189bddff51bfd5,238.601,2000.0,2000.0,sat
92387c29e87aa857e84feb301f3d6aff,1.309,1.834,2.663,sat
92c17c00d862668de6e6c45d4eecdc75,1.511,2.26,3.359,sat
92d6795785d35d1dcc42b15dc0e933d0,1.565,1.876,4.804,unsat
93a87994c03a7752f85d863239555d48,7.399,18.951,27.394,sat
945d67baeb7860df648ab6ef4782d5ed,2000.0,2.236,3.353,sat
953e9ff735bdf5ada27b0ab2b908b6af,8.475,60.42,10.586,unsat
9631e4082abf03e560b889c5715d3979,8.517,26.232,30.404,sat
964162c1faee2c1e3a4dfa4f9c75c34f,2000.0,2000.0,2000.0,unknown
965ca988015c9aee5a1a7b2136c1fe5d,2.149,1.139,2.865,unsat
96ae6bde39369f75aa975b0f5b74c325,10.716,4.156,7.359,sat
96e01064ac3b644143278c21859e201f,1.814,2.572,2000.0,sat
97a17306a2882e0fd1aa3981a267df0d,2000.0,2000.0,2000.0,unknown
9811b95bfd5888014d27e6dd384ff502,5.988,30.352,7.544,unsat
98c6da979a0a22d384d465a1da17111e,941.268,292.313,2000.0,sat
99d134de6323a845a2828596a48bbb1d,2000.0,2000.0,2000.0,unknown
9a413c250f82a93d513d4092ba654ee2,38.631,17.199,27.379,unsat
9c7043290cee8127c3626d8067759267,8.424,40.738,11.566,unsat
9de6ddddf7fde06bf2efd955e2bd1a83,1.354,90.875,2.654,sat
9e18c079efdc17ceade5c7a330b507d2,8.204,15.329,27.256,sat
9e7f2b92c6e46d03ddcafd798aa80cb6,2000.0,61.062,91.626,unsat
9f3ef12b5b68f92eb9265721ea73bb03,9.761,4.48,7.566,sat
9fe43145e48a0ef0096bb72531f1a0e3,6.998,358.17,2000.0,sat
a09a2d7397732447bdcc9651973767b7,32.501,86.222,293.57,sat
a0c7aea176b5a2b65c27c8af7039326b,48.209,127.753,168.608,unsat
a1276d5dcb822aa03806df58fa9ca1c8,16.393,32.72,30.682,unsat
a18b6fbdfee43c007e07dedf15477797,1.392,9.313,2.467,sat
a292411f3f563a47c05a78f8295163dc,96.682,2000.0,186.779,unsat
a45b60e53917968f922b97c6f8aa8db3,13.533,20.503,28.508,unsat
a4941208671f6ebfd118e4e563538c31,1.287,11.889,2.438,sat
a4b05fbc5be28207b704e1fae4b7c8a0,1.282,1.145,2.444,unsat
a552a058e6376a36b1f1b2724f228364,35.211,70.58,45.479,unsat
a64f3c1afd7e0f6165efbe9fc2fc8003,181.454,2.147,91.525,unsat
a6d7268b35eec18656a85ad91b0413e9,4.078,9.164,5.588,unsat
a7a9ca7e06b6b1e979950ea96183d07d,162.578,51.101,259.77,unsat
a7bbcc6535cca5a37f015f29090e8797,280.776,836.863,638.707,unsat
a811388cc92def6ef2d639dc062d456c,1.969,6.901,6.342,sat
a83665715cf54e10f6d5382b97fd909c,2000.0,2000.0,2000.0,sat
a8dc92a9c0434576b47c82c94ab5c446,29.366,30.467,31.651,unsat
a8dcaf436bda091dad9ca1ff58de7287,58.678,20.422,53.392,unsat
a931fb0e1490883ee7719eab96ed558a,54.238,85.292,79.907,unsat
a98d77ba9d3fbe8b7c55cbf75b2b43a8,577.132,2000.0,2000.0,sat
a9d081cbb33e6051be2512f2a2269d65,145.48,72.361,121.65,unsat
aa0d6b8c63f57956b9aed350f38e0571,2000.0,2000.0,2000.0,unknown
aa4a861240c0c39b5aa44602133ae5e1,7.985,46.855,9.229,unsat
abe802007c9aed4eab2e758fb130174b,5.693,48.325,17.661,unsat
accf33a84bdf211bebbd2111fb7f6b91,3.872,46.292,4.467,sat
ad69e0a0880cd377e26260f7e4bc6d51,66.501,2000.0,81.627,unsat
ae7e391be73431e5dddf2bbafe95758a,7.151,45.869,8.552,unsat
ae9522ea003ea9f75891b2d37a5e264b,1.205,2.467,5.838,sat
ae9b7950ef1513068bb9339893ec8c50,1.185,2000.0,2.649,unsat
af1e84bc2ab44d87d1c4c0cbf9e601c5,1.271,2000.0,2.459,unsat
af3d5273605b21b9d4c56dd46cbf366a,1.271,3.341,2.454,sat
af5838e83024d2dee3942be8d8e35fec,2000.0,2000.0,2000.0,unknown
b09585f2346c207e9e14a3daf0de46cf,1.271,45.165,2.685,unsat
b157aeb75aec9158fed9e16d7fd2da57,2.697,4.625,6.27,sat
b2145c28dbed385329ea73a06d9c519a,2000.0,1.114,2.37,unsat
b3840e295097a13e6697fff6be813eeb,356.651,2000.0,2000.0,unsat
b44611ea7852dd30215cc1cb09e1ab79,10.325,21.582,13.571,sat
b5b1803491a265b02d595c1fb62d5991,2000.0,2000.0,831.763,unsat
b5cede38496a803dcfa155a5f4295c47,7.925,16.043,37.644,sat
b6c44ccb3174b7f0a69185b11de86cfa,40.611,105.486,108.348,unsat
b6c6f1081dbb672e8294685d03326b09,2000.0,2000.0,2000.0,unknown
b86f2425cafeb1239d65bd529e372e02,2000.0,2000.0,2000.0,unknown
bab57c8799cb05c8c1757c60d4ebdefd,25.751,27.293,248.746,unsat
bb8042839130ce5597c358c1955706ff,127.302,132.98,225.332,unsat
bbf800109d039e117ed60593c185692c,2000.0,2000.0,2000.0,unknown
bc3a8bd47c5575c2f1b31882d28ee091,2000.0,2000.0,2000.0,sat
bc7dc7a83b442a2bf4cf8cae3f0e0faa,123.311,63.019,114.643,unsat
bca01a49805df3399a0438191019e417,1.37,3.822,2.482,sat
bcd753d08904860fa93a794557185e04,25.655,45.791,45.483,sat
bd0b055b890a9ace598a0c4aba40de30,46.505,59.707,70.45,unsat
